ID_REF,GSM3586432,GSM3586433,GSM3586434,GSM3586435
D1BWG0212E,5.338594671,5.077668667,5.188048263,5.062171515
MAP4K4,5.556079973,6.101647001,4.380051194,6.261278888
IL1R2,3.994744423,3.950512757,3.592064457,7.52159628
IL1R1,6.769749938,7.54802657,6.373139269,7.503899618
IL1RL2,2.952595158,3.815525108,2.852979245,3.55378044
IL1RL1,3.038843153,3.273071356,3.201545014,3.743769002
IL18R1,2.722263724,2.365814065,2.641026525,2.705197862
IL18RAP,2.579663954,2.811906387,2.743594924,5.253426449
SLC9A4,2.176582315,1.974866678,2.648904843,2.111317275
SLC9A2,2.208050403,1.985249863,1.991380956,1.917386642
TMEM182,2.506654857,2.380133602,2.548805826,2.340593278
GM9915,1.717092509,1.867412573,2.325872469,1.731069484
POU3F3,2.131586698,2.1050695,2.13614926,1.907028205
MRPS9,4.297599865,4.899564816,4.720564008,4.816802263
GPR45,2.602887265,2.210470453,2.465826807,2.434747048
8430432A02RIK,1.809055473,1.798781661,1.786724363,1.672329455
AI597479,4.832350094,4.017665561,4.168899814,3.889634214
GM8580,8.967354334,9.673625745,8.731465256,9.530229714
GM8211,2.055208845,1.563722413,1.939315771,1.623491916
NCK2,3.681755148,3.589522948,3.466839153,3.716840705
1500015O10RIK,4.459623677,4.825620101,3.506866917,3.193841506
TPP2,5.607665116,5.882284117,6.016668693,6.181188605
BIVM,4.076510341,3.693973787,3.327152432,3.528416796
ERCC5,5.346382185,4.964630928,5.127964753,4.726774223
GULP1,5.310903456,4.465206146,4.360479275,3.782381597
COL3A1,6.474770857,7.983317755,5.023707394,7.194166656
GM8304,1.887432496,1.303497088,1.310501073,1.042152077
WDR75,5.691307854,5.694275883,5.879597885,6.221839859
RPL23A,10.30779811,10.32384243,10.26149161,10.32078399
DNAHC7B,1.225062825,1.288637674,1.254384481,1.254384481
GM8357,2.55780762,2.710297633,2.271257076,2.735856097
C230029F24RIK,1.78679916,1.640831169,2.84687217,1.522984086
GM8384,2.79000685,2.342728121,2.128493719,2.542421499
TMEFF2,6.841340298,6.138778846,6.37872058,4.724029336
SDPR,7.801597884,5.752862495,7.179394962,6.256976056
STAT4,2.616966511,2.701349464,4.205031848,3.473794537
STAT1,5.115673232,5.49141457,5.891427583,5.720494418
TMEM194B,2.167779926,2.212754435,2.080469431,2.352848038
HIBCH,4.917390419,4.652380461,6.382925782,4.51666766
MSTN,2.082773123,1.79166892,2.453702036,1.591933263
ORMDL1,3.44893635,4.117003943,4.437449895,4.651476693
OSGEPL1,4.721735601,4.543697964,5.673412233,4.42142823
CCDC150,1.540487799,1.477061964,1.814698809,1.628929609
COQ10B,4.853207822,5.007586005,5.567866397,5.261533875
HSPE1,8.114629647,8.133752093,8.658098009,8.440310984
MOBKL3,5.929384064,5.564704584,5.798427435,5.893063537
GM10561,2.812869068,3.839841347,3.375994954,3.480144367
MARS2,3.726574367,3.698986562,3.488234749,3.681663104
PLCL1,3.188402437,2.850848405,2.672130155,2.260334844
1700066M21RIK,4.023417328,4.311056469,4.85847587,3.664447417
9430016H08RIK,4.549973779,3.92214427,5.049679727,3.686727004
SPATS2L,4.574779017,3.874733612,3.303187254,3.055302245
SGOL2,3.560701101,4.993945712,4.097235397,4.191165713
AOX1,3.17551441,2.784961648,3.919026354,3.033974648
AOX3,2.371754454,2.075442725,2.630224515,1.884108763
AOX4,2.029574663,1.683615945,2.169891575,1.580149046
AOX3L1,2.219428745,2.298433676,2.19365926,2.23104901
BZW1,6.43103824,6.437999237,6.072346592,6.901427157
NIF3L1,5.201194937,5.124903393,5.153636423,5.26394473
NDUFB3,4.496042097,4.944025475,5.736824692,5.219460767
CBX3,6.661954797,6.50286358,6.466517119,6.507169334
CFLAR,5.368074431,5.034633533,4.787178505,5.577604975
CASP8,5.885328531,6.987201784,6.938061632,6.82733129
STRADB,3.448927962,3.094409591,3.559414367,3.715917431
ALS2CR4,2.558061283,2.606958418,2.603439809,2.431606774
CDK15,2.623978452,2.796171413,2.88136671,2.052931825
FZD7,4.377382713,4.199565133,4.04864716,3.993626943
GM973,2.576435874,2.188195126,2.207878421,2.192276755
NOP58,5.410625599,5.713024015,5.88909649,6.64528846
BMPR2,7.539619876,6.800831192,7.139147817,6.548274266
FAM117B,6.094024329,5.767068595,5.366436865,5.354198626
CARF,2.8213549,3.038812887,2.517169974,2.346997678
NBEAL1,5.352516613,5.25551565,5.67265311,4.995852561
CYP20A1,4.119639185,4.80949114,4.030672402,4.65266602
ABI2,5.407289763,5.204225988,4.634657086,5.439993676
EIF4A1,7.182745349,7.699772939,6.796221632,8.24888126
CD28,2.879828851,3.20955146,4.28171001,3.611685867
CTLA4,2.239608514,2.042788281,3.372433164,2.409782929
ICOS,3.712186019,3.084659478,4.871634682,3.136483351
RPL17,7.145902568,7.504217526,7.310019586,7.717863397
PARD3B,4.999136048,3.648406384,3.78426048,3.893286012
GM11599,2.312738619,3.562426173,2.422742456,3.346274389
NRP2,5.38064329,5.278625718,4.943944662,5.174824671
EEF1B2,8.318654448,8.37585301,8.02085265,8.342792009
SNORA41,2.534694718,2.732681885,2.51946282,3.05977256
ZDBF2,2.512688821,2.314580892,2.931292504,1.870723125
ADAM23,4.861705518,4.713343446,4.421092411,3.829245968
FASTKD2,4.364663068,3.101583198,3.635857286,3.279491801
GM13749,2.487412312,2.640583298,2.658180052,2.566171873
CREB1,5.824273174,6.072601117,5.81173099,6.194115054
CCNYL1,5.947665069,6.128111563,6.246456744,6.264340459
PIKFYVE,4.972460893,5.081354171,5.148699972,5.007632193
PTH2R,1.81598128,1.493337709,1.801366456,1.539260058
CRYGF,2.825221157,2.692357601,2.941655763,2.672395064
MTAP2,3.552139867,2.82993789,3.382674881,2.538904332
UNC80,2.665691193,2.565216269,2.585538561,2.399725813
RPE,4.35132162,4.710482835,4.736579241,4.735322122
CPS1,2.087625689,1.89945006,1.820991356,1.797531077
SPAG16,1.844448706,1.586473726,1.692425822,1.574447736
VWC2L,2.315024722,1.732776207,2.523043016,1.655260224
ATIC,4.532056463,5.361002662,4.250878772,5.782702484
GM15456,2.212102883,2.176179091,2.183804376,2.390070392
RPL21,8.308441337,8.873402988,8.629649716,8.911373088
TMEM169,2.423789419,1.814914358,2.746582883,1.971477577
XRCC5,4.480644171,4.521449357,4.966400128,4.45386379
SMARCAL1,4.615447722,4.524992304,4.427227081,4.342504438
RPL37A,9.857230308,9.86634872,9.562037201,9.934761634
IGFBP2,2.812323511,3.375430603,2.142768818,2.694104636
RUFY4,2.823133653,2.938913118,2.691128614,4.9915354
CXCR2,4.415105612,6.085861232,6.107494992,8.500014371
ARPC2,8.228879633,8.26515202,8.152908345,8.524974793
GPBAR1,3.937838805,3.85798786,3.607830254,3.924955332
PNKD,3.151750152,3.426726565,3.769126499,3.297519477
GM216,3.0200912,2.78594436,2.007289592,1.967782193
SLC11A1,3.419192208,4.494818326,3.175343518,5.276484755
CTDSP1,5.055369588,6.02766339,4.830616459,5.653246374
MIR26B,1.574327205,1.617923619,1.806704203,1.914797261
VIL1,2.191402751,1.846652276,2.234147666,2.095891337
RQCD1,4.745343709,4.827746748,4.005433522,4.976388395
PLCD4,2.246361365,2.122504059,2.407033511,2.196752298
BCS1L,3.2591246,3.39511866,2.99302193,3.283914497
STK36,2.834809087,2.900448246,3.017991291,2.952352133
TTLL4,4.074979196,4.03989553,3.820853131,4.108876771
CYP27A1,4.143138327,4.449264195,4.591112953,2.980775229
WNT6,2.823802061,2.64093852,2.972758015,2.683790947
WNT10A,2.558836077,2.573776417,2.363696388,2.461946848
CDK5R2,3.497052125,3.314303564,3.363131046,3.151038763
FAM134A,4.484177041,5.06505035,4.629697003,5.463644426
ZFAND2B,3.455242533,3.846827422,3.339356274,4.363264012
ANKZF1,3.64627532,3.392407477,3.556393414,3.623062852
STK16,4.449865106,4.418050181,4.097562134,4.698779003
DNAJB2,3.196457588,2.863830011,2.985655395,2.922402726
DES,6.192516151,5.64435067,4.016556348,4.669064472
SPEG,3.672526435,3.320983754,2.767329777,2.925537969
GMPPA,4.224578335,5.016712827,4.086020798,4.706059586
ACCN4,3.07718204,2.812789151,3.245734645,2.930787941
TMEM198,2.366434158,2.364103497,2.465381612,2.185699801
INHA,3.02550007,2.751194668,2.449095195,2.236369587
STK11IP,2.586240273,2.812658162,2.97473303,2.807008171
SLC4A3,3.740585651,3.228725268,3.406734902,3.048219205
GM5257,2.349818019,2.012157315,2.08391266,2.107970076
GM2060,3.936291405,4.16159902,3.987020917,3.987841608
SGPP2,3.31774527,3.082476431,3.794094768,3.135585152
MOGAT1,3.187852364,2.091346306,3.718624027,1.826215475
ACSL3,3.357053461,3.234163212,4.0057542,3.136894316
KCNE4,4.224699861,3.653624288,3.544563401,3.666299439
GM10555,1.905274169,1.744105786,1.948487166,1.782246567
MRPL44,4.172573451,3.970125074,4.656583639,4.013553367
9830004L10RIK,1.662286627,1.259635999,2.180220294,0.842545102
9430031J16RIK,2.388426593,2.116973538,2.608729958,2.227669659
RHBDD1,3.258278366,3.277507724,2.999347586,3.804747712
COL4A3,3.286206455,2.852651573,2.945206154,2.875852838
MFF,6.389317817,5.957232369,6.02691505,6.263747422
AGFG1,6.3784472,6.211755333,5.556765864,6.57500942
CCL20,2.980123366,2.761852791,3.284516987,2.796224824
WDR69,1.557950767,1.604298854,2.156253748,1.388543429
FBXO36,4.151287445,4.397453819,3.87556095,3.866568247
GM7609,1.774951257,1.574713091,2.082472852,1.921947266
RPL19,9.246831363,9.412246965,9.116356358,9.296069275
A530040E14RIK,3.126663916,3.200333658,4.566508524,3.580281975
SP110,2.431053857,3.631603201,3.206511979,3.411865276
G530012D18RIK,9.230683464,8.81751134,9.322294697,8.705875503
SP140,6.378682788,6.291890046,6.656409505,6.61886082
SP100,6.99491193,6.453277032,7.156958551,6.311874619
CAB39,5.818406468,5.575562164,6.001971286,6.08737171
ITM2C,3.767147353,4.282549497,4.069466864,4.294682101
4933407L21RIK,2.804631358,2.605665985,2.795015144,2.79613769
SPATA3,2.137925517,1.812277793,2.143646744,1.662518428
2810459M11RIK,2.411151985,1.988292112,1.884455715,1.822636896
PSMD1,6.793247987,7.065558374,6.637027619,7.276563529
ARMC9,3.585063137,2.67601113,3.321907504,3.272932126
B3GNT7,3.615737167,3.577252292,2.909369936,3.431940436
NCL,2.43862509,2.819547274,2.642178366,3.212702091
C130036L24RIK,3.559469867,3.427905253,3.550724214,3.358530715
1700019O17RIK,4.106553074,3.568372304,3.730110442,3.597266922
RPL30-PS6,3.250228158,2.940494373,3.678365421,3.027309506
PTMA,8.531300886,8.76368539,7.914548182,8.865065018
COPS7B,4.738327819,4.909420958,4.770276829,4.704238944
DIS3L2,2.869122851,2.985419644,3.526000101,3.314828739
AKP3,3.185002348,3.076063229,3.132536804,3.26164851
1700027L20RIK,3.693710382,3.297268841,3.737314685,3.272141428
CHRND,2.492852372,2.556866913,2.744682908,2.141871566
CHRNG,2.976743369,2.662309079,2.737586256,2.671196621
EIF4E2,4.585830056,5.322126563,4.471105772,5.111446929
EFHD1,4.107950516,3.789407168,3.704782313,2.549139807
GIGYF2,5.827463067,5.856978434,5.433362043,6.117508487
NEU2,3.4491705,2.822970586,3.374145403,2.90717759
3110079O15RIK,3.461475748,3.191838978,2.981167518,3.089421379
INPP5D,4.329948014,5.535662225,4.104346052,6.610699269
ATG16L1,3.654813692,3.242985662,3.095818231,3.871046561
5830472F04RIK,3.764129925,4.307307353,4.861438545,4.944717335
SAG,2.078416406,2.297011494,2.429147423,2.266359377
DGKD,4.274397318,4.774517313,4.356407351,5.305697647
UGT1A9,3.268011136,3.988120739,3.473016133,4.186564813
